"city","facebook","name","state","street","tags","twitter","type","website","x","y","zip"
"Mount Vernon","4R Angus Farm","4R Angus Farm","oh","8259 Keys Road","poultry fowl red-meat non-poultry-meat","","farm","4RAngusFarm.weebly.com","-82.5620100","40.3586810","43050"
"Covington","https://www.facebook.com/adamsgreenhouse","Adams Greenhouse & Produce LLC","oh","6373 W. US RT 36","baked-goods bedding plants canned preserved coffee tea cut-flowers dairy products dry beans eggs fish seafood herbs fresh-fruits fresh-vegetables grains flour honey maple-products mushrooms nuts poultry fowl prepared-foods red-meat non-poultry-meat soap body-care","","farm","www.adamsgreenhouse.com","-84.324411","40.127688","45318"
"Cleveland","https://www.facebook.com/AmalfiGardens","Amalfi Gardens LLC","oh","82nd & Kinsman rd.","","","farm","","-81.630177","41.475637","44104"
"Tipp City","https://www.facebook.com/AngryHippieFarms","Angry Hippie Farms, LLC","oh","6615 Peters Rd","","","farm","http://www.angryhippiefarms.com","-84.225463","39.94265","45371"
"Paris ","https://www.facebook.com/ArrowheadOrchard/","Arrowhead Orchard LLC","oh","11724 Lisbon St SE","baked-goods canned preserved coffee tea crafts woodworking cut-flowers eggs herbs fresh-fruits fresh-vegetables grains flour honey juices ciders maple-products nuts pet-food soap body-care","","farm","https://www.arrowheadorchard.com/","-81.182497","40.799762","44669"
"Fredericktown","www.facebook.com/baalissgrass.farm","BaaLiss Grass Farm","oh","7285 County Road 183","eggs poultry fowl red-meat non-poultry-meat","","farm","","-82.672361","40.432817","43019"
"Hillsboro","","Blue Ribbon Farm","oh","5459 Blue Ribbon Rd","fresh-fruits fresh-vegetables","","farm","","-83.4767810","39.1619920","45133"
"South Bloomfield","Blueberry Valley","Blueberry Valley","oh","14337 US Highway 23","canned preserved fresh-fruits honey wild-harvested forest-products","","farm","www.columbusblueberry.com","-82.987563","39.724435","43103"
"Clarksville","www.Facebook/BonnybrookFarms","Bonnybrook Farms","oh","3779 State Route 132","baked-goods canned preserved coffee tea prepared-foods","","farm","www.BonnybrookFarms.com","-84.019575","39.367811","45113"
"Eaton ","https://www.facebook.com/boulderbeltfarm","Boulder Belt Eco-Farm","oh","3257 US 127 N","canned preserved crafts woodworking dry beans eggs herbs fresh-fruits fresh-vegetables honey maple-products","","farm","http://www.boulderbelt.com","-84.631422","39.791734","45320"
"Homeworth","https://www.facebook.com/pages/Breezy-Hill-Farm-Homeworth-Ohio/184191254939126","Breezy Hill Farm","oh","23342 Bowman Rd.","cut-flowers herbs fresh-vegetables wild-harvested forest-products","","farm","www.breezyhillfarmohio.com","-81.0616202","40.8431293","44634"
"Xenia","Brookside Farm","Brookside Farm","oh","2626 Hussey Rd.","eggs","","farm","","-83.942201","39.6834","45385"
"Whitehouse","","Bucher Family Farm","oh","5702 Eber Rd.","","","farm","","-83.786230","41.536222","43571"
"Mantua","https://www.facebook.com/CarltonFarmProduce","Carlton Farm Produce","oh","3486 Pioneer Tr.","fresh-vegetables","https://www.twitter.com/carltonfarmprod","farm","www.carltonfarmproduce.com","-81.267049","41.292584","44255"
"Newark","","Charlie's Apples at Windy Hill Apple Farm","oh","1740 Sportsman Club Road","fresh-fruits juices ciders","","farm","www.charliesapples.com","-82.5317710","40.1554270","43055"
"New Lebanon","https://www.facebook.com/cooksgardennewlebanon","Cook's Garden","oh","989 N. Clayton Rd","bedding plants fresh-vegetables","","farm","http://cooksgardennewlebanon.com","-84.3954739","39.7597210","45345"
"Geneva","","Covered Bridge Farms/Shimandle Grapes","oh","1517 Lafevre Road","fresh-fruits","","farm","www.facebook.com/CoveredBridgeFarms","-80.958817","41.765378","44041"
"Leetonia","https://www.facebook.com/pages/Dandelion-Lane-Farm","Dandelion Lane Farm","oh","40949 State Route 558","canned preserved coffee tea eggs poultry fowl","","farm","www.DandelionLaneFarm.com","-80.727259","40.839863","44431"
"Newark","","DAVIDSON PRODUCE & CATTLE FARM LLC","oh","3033 Dayton Rd NE","eggs poultry fowl red-meat non-poultry-meat","","farm","www.davidsonproduceandcattlefarm.com","-82.355769","40.092689","43055"
"Mount Vernon","https://www.facebook.com/double8cattle/","Double 8 Cattle Company","oh","11275 Lovers Lane","red-meat non-poultry-meat","","farm","www.double8cattle.com","-82.531854","40.402862","43050"
"Clyde","https://www.facebook.com/Eshleman-Fruit-Farm-314477007606/?rf=157614694313691","Eshleman Fruit Farm","oh","753 E Maple St","bedding plants canned preserved fresh-fruits fresh-vegetables honey juices ciders","","farm","www.EshlemanFruitFarm.com","-82.9570494","41.3179418","43410"
"Hinckley ","RodSharpnack.FamilyRootsFarm","Family Roots Farm ","oh","2175 W. 130th Street","baked-goods canned preserved fresh-fruits fresh-vegetables juices ciders wild-harvested forest-products","","farm","www.familyrootsfarm.com","-81.784668","41.216353","44233"
"Mechanicsburg","folckfamilyfarm","Folck Family Farm","oh","6843 State Route 54","fresh-fruits fresh-vegetables honey maple-products","","farm","folckfamilyfarm.net","-83.6365576","40.0222168","43044"
"Orient","https://www.facebook.com/folsomandpine","Folsom & Pine Farm","oh","5959 Lambert Road","bedding plants coffee tea herbs fresh-vegetables honey nursery-stock prepared-foods soap body-care","https://www.twitter.com/FolsomPineFarm","farm","www.folsomandpine.com","-83.162686","39.844156","43146"
"Centerville (Montgomery County)","","Foster's Farmhouse LLC","oh","9791 Paragon Rd","canned preserved eggs fresh-vegetables honey maple-products red-meat non-poultry-meat","","farm","www.fostersfarmhouse.com","-84.185969","39.601443","45458"
"Granger Township","","From The Water's Edge","oh","798 N. Medina Line Road","baked-goods canned preserved eggs herbs fresh-fruits fresh-vegetables honey maple-products wild-harvested forest-products","","farm","","-81.713905","41.162239","44256"
"Sunbury","www.facebook.com/glassroostercannery","Glass Rooster Cannery","oh","1673 South State Route 605","bedding plants canned preserved crafts woodworking honey maple-products soap body-care","@glassrooster","farm","www.glassroostercannery.com","-82.804485","40.194321","43074"
"Cleveland ","","Good Earth","oh","9600 Madison Avenue","fresh-fruits fresh-vegetables","","farm","","-81.749955","41.477146","44102"
"Mantua","https://facebook.com/goodellfamilyfarm","Goodell Family Farm","oh","10220 Peck Rd","maple-products","","farm","www.goodellfamilyfarm.com","-81.2087330","41.2694840","44255"
"Centerburg","www.facebook.com/grannybfarms/","Granny B Farms LLC","oh","7201 Tucker Road","herbs fresh-fruits fresh-vegetables","","farm","www.grannybfarm.com","-82.608500","40.346711","43011"
"Wellington","Greener Pasture Farm","Greener Pasture Farm","oh","18456 Pitts Rd","dairy products red-meat non-poultry-meat","","farm","","-82.2419060","41.2160269","44090"
"Brookville","Www.facebook.com/hartmanheimstytte","Hartman Heimstytte ","oh","7293 Phillipsburg Union Rd","baked-goods canned preserved eggs fresh-fruits fresh-vegetables honey poultry fowl red-meat non-poultry-meat","","farm","Www.hartmanheimstytte.com","-84.393040","39.905200","45309"
"Bowling Green","","Hayhurst Farm","oh","13521 S. Dixie Hwy.","eggs fish seafood","","farm","","-83.652856","41.350138","43402"
