	id	state	COUNTY	GEO_TTL	relevant_naics	NAICS2012_TTL	NAICS_Sector	estab	emp	payann
2	8001	8	1	Adams County, Colorado	1152	Support activities for animal production	11	3.4	9.0	229.4
3	8001	8	1	Adams County, Colorado	2111	Oil and gas extraction	21	5.6	7.2	708.6
5	8001	8	1	Adams County, Colorado	2123	Nonmetallic mineral mining and quarrying	21	9.4	46.0	2598.2
6	8001	8	1	Adams County, Colorado	2131	Support activities for mining	21	23.2	516.6	37649.4
7	8001	8	1	Adams County, Colorado	2211	Electric power generation, transmission and distribution	22	13.0	473.2	47401.0
8	8001	8	1	Adams County, Colorado	2213	Water, sewage and other systems	22	5.4	21.2	1057.6
9	8001	8	1	Adams County, Colorado	2361	Residential building construction	23	161.8	511.8	23345.4
10	8001	8	1	Adams County, Colorado	2362	Nonresidential building construction	23	54.6	589.0	35047.2
11	8001	8	1	Adams County, Colorado	2371	Utility system construction	23	48.8	3126.8	214062.8
13	8001	8	1	Adams County, Colorado	2373	Highway, street, and bridge construction	23	30.2	1299.4	85846.0
14	8001	8	1	Adams County, Colorado	2379	Other heavy and civil engineering construction	23	4.2	37.8	2560.6
15	8001	8	1	Adams County, Colorado	2381	Foundation, structure, and building exterior contractors	23	221.2	2893.6	136400.0
16	8001	8	1	Adams County, Colorado	2382	Building equipment contractors	23	328.2	4567.6	260959.2
17	8001	8	1	Adams County, Colorado	2383	Building finishing contractors	23	257.2	1907.8	83422.4
18	8001	8	1	Adams County, Colorado	2389	Other specialty trade contractors	23	134.8	3014.2	159594.0
20	8001	8	1	Adams County, Colorado	3112	Grain and oilseed milling	31	3.0	65.6	5017.6
21	8001	8	1	Adams County, Colorado	3113	Sugar and confectionery product manufacturing	31	2.8	36.6	732.8
24	8001	8	1	Adams County, Colorado	3116	Animal slaughtering and processing	31	9.6	354.6	15821.6
26	8001	8	1	Adams County, Colorado	3118	Bakeries and tortilla manufacturing	31	17.0	1177.0	47852.0
27	8001	8	1	Adams County, Colorado	3119	Other food manufacturing	31	4.8	84.8	2240.8
28	8001	8	1	Adams County, Colorado	3121	Beverage manufacturing	31	4.5	21.0	545.0
30	8001	8	1	Adams County, Colorado	3149	Other textile product mills	31	7.8	53.0	1671.2
32	8001	8	1	Adams County, Colorado	3152	Cut and sew apparel manufacturing	31	2.6666666666666665	1.3333333333333333	15.666666666666664
36	8001	8	1	Adams County, Colorado	3211	Sawmills and wood preservation	32	2.6	30.0	1482.4
37	8001	8	1	Adams County, Colorado	3212	Veneer, plywood, and engineered wood product manufacturing	32	4.6	36.6	2032.8
38	8001	8	1	Adams County, Colorado	3219	Other wood product manufacturing	32	9.6	425.2	19177.4
39	8001	8	1	Adams County, Colorado	3222	Converted paper product manufacturing	32	6.8	233.2	12398.0
40	8001	8	1	Adams County, Colorado	3231	Printing and related support activities	32	41.0	849.4	40708.8
41	8001	8	1	Adams County, Colorado	3241	Petroleum and coal products manufacturing	32	9.0	645.0	70091.2
47	8001	8	1	Adams County, Colorado	3256	Soap, cleaning compound, and toilet preparation manufacturing	32	5.6	107.0	6573.2
48	8001	8	1	Adams County, Colorado	3259	Other chemical product and preparation manufacturing	32	3.0	15.4	778.4
49	8001	8	1	Adams County, Colorado	3261	Plastics product manufacturing	32	19.6	536.8	23055.4
50	8001	8	1	Adams County, Colorado	3262	Rubber product manufacturing	32	1.8	0.4	31.4
53	8001	8	1	Adams County, Colorado	3273	Cement and concrete product manufacturing	32	19.6	775.8	39420.2
54	8001	8	1	Adams County, Colorado	3279	Other nonmetallic mineral product manufacturing	32	5.2	62.4	3282.8
60	8001	8	1	Adams County, Colorado	3323	Architectural and structural metals manufacturing	33	26.8	681.8	34799.0
63	8001	8	1	Adams County, Colorado	3327	Machine shops; turned product; and screw, nut, and bolt manufacturing	33	26.2	180.0	8988.0
64	8001	8	1	Adams County, Colorado	3328	Coating, engraving, heat treating, and allied activities	33	9.8	120.2	4855.4
65	8001	8	1	Adams County, Colorado	3329	Other fabricated metal product manufacturing	33	8.6	56.8	2232.2
66	8001	8	1	Adams County, Colorado	3331	Agriculture, construction, and mining machinery manufacturing	33	3.8	23.0	1072.6
67	8001	8	1	Adams County, Colorado	3332	Industrial machinery manufacturing	33	2.8	4.4	456.4
70	8001	8	1	Adams County, Colorado	3335	Metalworking machinery manufacturing	33	4.4	8.2	597.4
72	8001	8	1	Adams County, Colorado	3339	Other general purpose machinery manufacturing	33	6.4	121.2	8181.4
76	8001	8	1	Adams County, Colorado	3344	Semiconductor and other electronic component manufacturing	33	5.8	391.6	20343.0
77	8001	8	1	Adams County, Colorado	3345	Navigational, measuring, electromedical, and control instruments manufacturing	33	4.4	87.2	4685.0
82	8001	8	1	Adams County, Colorado	3362	Motor vehicle body and trailer manufacturing	33	6.2	212.6	10638.4
83	8001	8	1	Adams County, Colorado	3363	Motor vehicle parts manufacturing	33	9.6	129.2	5955.8
85	8001	8	1	Adams County, Colorado	3371	Household and institutional furniture and kitchen cabinet manufacturing	33	7.8	32.2	1627.2
86	8001	8	1	Adams County, Colorado	3372	Office furniture (including fixtures) manufacturing	33	11.4	65.8	7633.8
88	8001	8	1	Adams County, Colorado	3391	Medical equipment and supplies manufacturing	33	13.0	49.8	2622.4
89	8001	8	1	Adams County, Colorado	3399	Other miscellaneous manufacturing	33	19.0	86.8	3841.2
90	8001	8	1	Adams County, Colorado	4231	Motor vehicle and motor vehicle parts and supplies merchant wholesalers	42	66.0	1527.8	82666.6
91	8001	8	1	Adams County, Colorado	4232	Furniture and home furnishing merchant wholesalers	42	15.8	204.4	11159.2
