	NAICS_Sector	NAICS2012_TTL	state	relevant_naics	COUNTY	id	GEO_TTL	estab	emp	payann	estimate
0	11	Cotton ginning	20	115111	35	20035	Cowley County, Kansas	1.0	5.15625	373.3125	1.0
1	11	Cotton ginning	20	115111	151	20151	Pratt County, Kansas	2.0	10.3125	746.625	1.0
2	11	Cotton ginning	20	115111	189	20189	Stevens County, Kansas	1.0	5.15625	373.3125	1.0
3	11	Crop harvesting, primarily by machine	20	115113	7	20007	Barber County, Kansas	1.0	3.126674195369848	125.91525691699604	1.0
4	11	Crop harvesting, primarily by machine	20	115113	9	20009	Barton County, Kansas	1.0	3.126674195369848	125.91525691699604	1.0
5	11	Crop harvesting, primarily by machine	20	115113	13	20013	Brown County, Kansas	1.0	3.1166089738868568	126.17534513375723	1.0
6	11	Crop harvesting, primarily by machine	20	115113	17	20017	Chase County, Kansas	1.0	3.126674195369848	125.91525691699604	1.0
7	11	Crop harvesting, primarily by machine	20	115113	29	20029	Cloud County, Kansas	1.0	6.817193675889328	290.5998023715415	1.0
8	11	Crop harvesting, primarily by machine	20	115113	39	20039	Decatur County, Kansas	1.0	3.126674195369848	125.91525691699604	1.0
9	11	Crop harvesting, primarily by machine	20	115113	47	20047	Edwards County, Kansas	1.0	3.126674195369848	125.91525691699604	1.0
10	11	Crop harvesting, primarily by machine	20	115113	51	20051	Ellis County, Kansas	2.0	6.253348390739696	251.8305138339921	1.0
11	11	Crop harvesting, primarily by machine	20	115113	55	20055	Finney County, Kansas	1.08	3.386068134763787	135.74919631093545	1.0
12	11	Crop harvesting, primarily by machine	20	115113	67	20067	Grant County, Kansas	1.0	2.6666666666666665	112.16666666666666	1.0
13	11	Crop harvesting, primarily by machine	20	115113	69	20069	Gray County, Kansas	2.16	5.7419913419913415	237.92848484848483	0.92
14	11	Crop harvesting, primarily by machine	20	115113	81	20081	Haskell County, Kansas	2.8	3.1368115942028987	193.53657444005273	0.92
15	11	Crop harvesting, primarily by machine	20	115113	95	20095	Kingman County, Kansas	1.0	3.126674195369848	125.91525691699604	1.0
