	NAICS_Sector	NAICS2012_TTL	state	relevant_naics	COUNTY	id	GEO_TTL	estab	emp	payann	estimate
0	11	Fishing	37	1141	25	37025	Cabarrus County, North Carolina	1.0	-0.7443181818181819	63.22727272727273	1.0
1	11	Fishing	37	1141	31	37031	Carteret County, North Carolina	3.4	2.0734848484848483	159.1727272727273	0.6
2	11	Fishing	37	1141	49	37049	Craven County, North Carolina	2.0	1.3573232323232323	118.3151515151515	0.8
3	11	Fishing	37	1141	53	37053	Currituck County, North Carolina	1.0	0.06616161616161609	63.45757575757575	1.0
4	11	Fishing	37	1141	55	37055	Dare County, North Carolina	6.4	6.0	221.0	0.0
5	11	Fishing	37	1141	57	37057	Davidson County, North Carolina	1.0	1.0	70.0	1.0
6	11	Fishing	37	1141	103	37103	Jones County, North Carolina	1.0	-1.125	69.0	1.0
7	11	Fishing	37	1141	133	37133	Onslow County, North Carolina	1.0	-1.125	69.0	1.0
8	11	Fishing	37	1141	137	37137	Pamlico County, North Carolina	1.0	0.06616161616161609	63.45757575757575	1.0
9	11	Fishing	37	1141	139	37139	Pasquotank County, North Carolina	1.0	-0.1672979797979799	61.821969696969695	1.0
10	11	Fishing	37	1141	177	37177	Tyrrell County, North Carolina	1.0	-0.6813973063973066	65.26262626262626	1.0
11	11	Fishing	37	1141	191	37191	Wayne County, North Carolina	1.0	-0.36363636363636365	57.45454545454545	1.0
12	11	Forest nurseries and gathering of forest products	37	1132	7	37007	Anson County, North Carolina	1.0	6.770707070707071	261.10080808080806	1.0
13	11	Forest nurseries and gathering of forest products	37	1132	9	37009	Ashe County, North Carolina	1.0	6.6022727272727275	247.07045454545454	1.0
14	11	Forest nurseries and gathering of forest products	37	1132	11	37011	Avery County, North Carolina	1.0	6.9	258.1	1.0
15	11	Forest nurseries and gathering of forest products	37	1132	61	37061	Duplin County, North Carolina	1.0	6.770707070707071	261.10080808080806	1.0
16	11	Forest nurseries and gathering of forest products	37	1132	71	37071	Gaston County, North Carolina	1.0	6.090909090909091	254.1818181818182	1.0
17	11	Forest nurseries and gathering of forest products	37	1132	81	37081	Guilford County, North Carolina	1.0	6.770707070707071	261.10080808080806	1.0
18	11	Forest nurseries and gathering of forest products	37	1132	85	37085	Harnett County, North Carolina	1.0	6.770707070707071	261.10080808080806	1.0
19	11	Forest nurseries and gathering of forest products	37	1132	125	37125	Moore County, North Carolina	1.0	6.770707070707071	261.10080808080806	1.0
20	11	Forest nurseries and gathering of forest products	37	1132	141	37141	Pender County, North Carolina	1.0	6.770707070707071	261.10080808080806	1.0
21	11	Forest nurseries and gathering of forest products	37	1132	151	37151	Randolph County, North Carolina	1.0	6.770707070707071	261.10080808080806	1.0
22	11	Forest nurseries and gathering of forest products	37	1132	161	37161	Rutherford County, North Carolina	1.0	6.784511784511785	267.13468013468014	1.0
23	11	Forest nurseries and gathering of forest products	37	1132	183	37183	Wake County, North Carolina	1.0	6.709090909090909	238.0	1.0
24	11	Forest nurseries and gathering of forest products	37	1132	191	37191	Wayne County, North Carolina	1.0	6.770707070707071	261.10080808080806	1.0
25	11	Hunting and trapping	37	1142	11	37011	Avery County, North Carolina	1.0	0.8000000000000002	71.6952380952381	1.0
26	11	Hunting and trapping	37	1142	21	37021	Buncombe County, North Carolina	1.0	0.0	54.285714285714285	1.0
27	11	Hunting and trapping	37	1142	27	37027	Caldwell County, North Carolina	1.0	2.2666666666666666	93.84380952380953	1.0
28	11	Hunting and trapping	37	1142	35	37035	Catawba County, North Carolina	1.0	1.7500000000000002	85.47142857142858	1.0
29	11	Hunting and trapping	37	1142	47	37047	Columbus County, North Carolina	1.0	0.0	54.285714285714285	1.0
30	11	Hunting and trapping	37	1142	55	37055	Dare County, North Carolina	1.0	2.2666666666666666	93.84380952380953	1.0
31	11	Hunting and trapping	37	1142	167	37167	Stanly County, North Carolina	1.0	4.6000000000000005	126.80000000000001	1.0
32	11	Hunting and trapping	37	1142	179	37179	Union County, North Carolina	1.0	2.2666666666666666	93.84380952380953	1.0
33	11	Logging	37	1133	1	37001	Alamance County, North Carolina	3.6	8.2	424.6	0.0
34	11	Logging	37	1133	3	37003	Alexander County, North Carolina	1.8	13.52369482762786	284.7078075525325	1.0
35	11	Logging	37	1133	5	37005	Alleghany County, North Carolina	2.0	15.191300461430677	314.07118783422266	1.0
36	11	Logging	37	1133	7	37007	Anson County, North Carolina	16.8	93.0	3288.6	0.0
37	11	Logging	37	1133	9	37009	Ashe County, North Carolina	5.4	10.6	266.8	0.0
38	11	Logging	37	1133	11	37011	Avery County, North Carolina	1.0	9.337662337662339	145.2077922077922	1.0
39	11	Logging	37	1133	13	37013	Beaufort County, North Carolina	14.8	142.2	6446.8	0.0
40	11	Logging	37	1133	15	37015	Bertie County, North Carolina	9.4	68.8	2873.4	0.0
41	11	Logging	37	1133	17	37017	Bladen County, North Carolina	20.2	133.0	4318.2	0.0
42	11	Logging	37	1133	19	37019	Brunswick County, North Carolina	5.8	67.0	2315.6	0.0
43	11	Logging	37	1133	21	37021	Buncombe County, North Carolina	1.2	8.591876645809679	193.21295240767736	1.0
44	11	Logging	37	1133	23	37023	Burke County, North Carolina	2.6	10.92102425876011	321.2613103877255	0.6
45	11	Logging	37	1133	25	37025	Cabarrus County, North Carolina	5.6	24.6	1059.0	0.0
46	11	Logging	37	1133	27	37027	Caldwell County, North Carolina	1.0	8.307062788394173	155.07127811067488	1.0
47	11	Logging	37	1133	29	37029	Camden County, North Carolina	5.4	62.0	2660.2	0.0
48	11	Logging	37	1133	31	37031	Carteret County, North Carolina	1.0	7.963529605304785	158.35910674496907	1.0
49	11	Logging	37	1133	33	37033	Caswell County, North Carolina	3.8	18.8	754.6	0.0
50	11	Logging	37	1133	35	37035	Catawba County, North Carolina	2.2	17.058832928963145	343.11274627578103	1.0
51	11	Logging	37	1133	37	37037	Chatham County, North Carolina	10.4	33.0	1810.6	0.0
52	11	Logging	37	1133	39	37039	Cherokee County, North Carolina	1.2	8.545650230715339	190.01416534568276	1.0
53	11	Logging	37	1133	41	37041	Chowan County, North Carolina	4.0	45.0	1931.6	0.0
54	11	Logging	37	1133	45	37045	Cleveland County, North Carolina	1.4	9.541876645809678	226.1915238362488	1.0
55	11	Logging	37	1133	47	37047	Columbus County, North Carolina	19.8	53.8	3060.0	0.0
56	11	Logging	37	1133	49	37049	Craven County, North Carolina	18.8	108.2	7227.0	0.0
57	11	Logging	37	1133	51	37051	Cumberland County, North Carolina	2.0	15.191300461430677	314.07118783422266	1.0
58	11	Logging	37	1133	57	37057	Davidson County, North Carolina	3.6	13.85	338.3357142857143	0.2
59	11	Logging	37	1133	59	37059	Davie County, North Carolina	1.0	7.595650230715338	157.03559391711133	1.0
60	11	Logging	37	1133	61	37061	Duplin County, North Carolina	18.6	125.8	4038.6	0.0
61	11	Logging	37	1133	63	37063	Durham County, North Carolina	2.0	15.191300461430677	314.07118783422266	1.0
62	11	Logging	37	1133	69	37069	Franklin County, North Carolina	8.4	81.8	3172.8	0.0
63	11	Logging	37	1133	71	37071	Gaston County, North Carolina	2.2	13.998847631242	266.1164708530906	0.8
64	11	Logging	37	1133	73	37073	Gates County, North Carolina	3.6	27.4	1087.6	0.0
65	11	Logging	37	1133	75	37075	Graham County, North Carolina	2.2	13.798847631242001	258.9164708530906	0.8
66	11	Logging	37	1133	77	37077	Granville County, North Carolina	3.4	29.6	939.0	0.0
67	11	Logging	37	1133	81	37081	Guilford County, North Carolina	1.8	13.32376799389821	285.0296293926642	1.0
68	11	Logging	37	1133	83	37083	Halifax County, North Carolina	9.0	34.0	1662.2	0.0
69	11	Logging	37	1133	85	37085	Harnett County, North Carolina	3.8	22.930162794951528	402.27709755033703	0.6
70	11	Logging	37	1133	87	37087	Haywood County, North Carolina	3.6	14.145454545454545	288.74885114885114	0.4
71	11	Logging	37	1133	89	37089	Henderson County, North Carolina	2.4	12.521024258760109	429.0613103877255	0.6
72	11	Logging	37	1133	91	37091	Hertford County, North Carolina	2.0	15.191300461430677	314.07118783422266	1.0
73	11	Logging	37	1133	93	37093	Hoke County, North Carolina	2.0	18.675324675324678	290.4155844155844	1.0
74	11	Logging	37	1133	95	37095	Hyde County, North Carolina	1.2	9.463182698247808	186.07715235866976	1.0
75	11	Logging	37	1133	97	37097	Iredell County, North Carolina	5.4	28.8	650.6	0.0
76	11	Logging	37	1133	99	37099	Jackson County, North Carolina	2.4	12.098847631241998	229.55932799594774	0.6
77	11	Logging	37	1133	101	37101	Johnston County, North Carolina	6.0	38.0	1459.2	0.0
78	11	Logging	37	1133	103	37103	Jones County, North Carolina	3.0	19.0	604.2	0.0
79	11	Logging	37	1133	105	37105	Lee County, North Carolina	10.2	29.2	1191.0	0.0
80	11	Logging	37	1133	107	37107	Lenoir County, North Carolina	5.0	33.6	1081.8	0.0
81	11	Logging	37	1133	109	37109	Lincoln County, North Carolina	3.0	15.42102425876011	498.5041675305826	0.4
82	11	Logging	37	1133	111	37111	McDowell County, North Carolina	2.2	18.894497861957337	332.79492191305906	1.0
83	11	Logging	37	1133	113	37113	Macon County, North Carolina	2.0	15.191300461430677	314.07118783422266	1.0
84	11	Logging	37	1133	115	37115	Madison County, North Carolina	1.0	7.595650230715338	157.03559391711133	1.0
85	11	Logging	37	1133	117	37117	Martin County, North Carolina	10.6	103.6	4420.6	0.0
86	11	Logging	37	1133	119	37119	Mecklenburg County, North Carolina	1.0	7.043831168831169	155.05032467532467	1.0
87	11	Logging	37	1133	121	37121	Mitchell County, North Carolina	1.4	11.37754157880387	215.87369947352676	1.0
88	11	Logging	37	1133	123	37123	Montgomery County, North Carolina	12.8	72.6	2630.6	0.0
89	11	Logging	37	1133	125	37125	Moore County, North Carolina	2.6	19.969418224613545	409.08665188120415	1.0
90	11	Logging	37	1133	127	37127	Nash County, North Carolina	3.0	28.566453265044817	722.3227082776378	0.6
