	NAICS_Sector	NAICS2012_TTL	state	relevant_naics	COUNTY	id	GEO_TTL	estimate	estab	emp	payann
0	11	Fishing	37	1141	25	37025	Cabarrus County, North Carolina	1	1.0	-0.7443181818181819	63.22727272727273
1	11	Fishing	37	1141	31	37031	Carteret County, North Carolina	0	3.6666666666666665	4.666666666666667	123.0
2	11	Fishing	37	1141	31	37031	Carteret County, North Carolina	1	3.0	0.4558080808080809	178.28787878787878
3	11	Fishing	37	1141	49	37049	Craven County, North Carolina	0	3.0	7.0	166.0
4	11	Fishing	37	1141	49	37049	Craven County, North Carolina	1	1.75	-0.05334595959595956	106.39393939393939
5	11	Fishing	37	1141	53	37053	Currituck County, North Carolina	1	1.0	0.2773569023569023	60.70353535353535
6	11	Fishing	37	1141	55	37055	Dare County, North Carolina	0	6.333333333333333	5.833333333333333	220.83333333333334
7	11	Fishing	37	1141	57	37057	Davidson County, North Carolina	1	1.0	1.1666666666666665	58.46666666666667
8	11	Fishing	37	1141	103	37103	Jones County, North Carolina	1	1.0	-1.125	69.0
9	11	Fishing	37	1141	133	37133	Onslow County, North Carolina	1	1.0	-1.125	69.0
10	11	Fishing	37	1141	137	37137	Pamlico County, North Carolina	1	1.0	0.2773569023569023	60.70353535353535
11	11	Fishing	37	1141	139	37139	Pasquotank County, North Carolina	1	1.0	-0.1672979797979799	61.821969696969695
12	11	Fishing	37	1141	177	37177	Tyrrell County, North Carolina	1	1.0	-0.6813973063973066	65.26262626262626
13	11	Fishing	37	1141	191	37191	Wayne County, North Carolina	1	1.0	-0.36363636363636365	57.45454545454545
14	11	Forest nurseries and gathering of forest products	37	1132	7	37007	Anson County, North Carolina	1	1.0	6.882996632996633	270.4543771043771
15	11	Forest nurseries and gathering of forest products	37	1132	9	37009	Ashe County, North Carolina	1	1.0	6.6022727272727275	247.07045454545454
16	11	Forest nurseries and gathering of forest products	37	1132	11	37011	Avery County, North Carolina	1	1.0	6.9	258.1
17	11	Forest nurseries and gathering of forest products	37	1132	61	37061	Duplin County, North Carolina	1	1.0	6.882996632996633	270.4543771043771
