	id	COUNTY	GEO_TTL	NAICS_Sector	NAICS2012_TTL	state	relevant_naics	estab_agg	emp_agg	payann_agg	emp_api	payann_api	estab_api
0	34	999	Statewide	11	Farm labor contractors and crew leaders	34	115115	5.8	0.0	0.0	70.0	1976.0	4.4
1	34	999	Statewide	11	Farm management services	34	115116	4.0	0.0	0.0	19.8	648.0	3.4
2	34	999	Statewide	11	Finfish fishing	34	114111	30.6	41.0	4201.2	81.0	6257.2	29.8
3	34	999	Statewide	11	Forest nurseries and gathering of forest products	34	113210	4.2	0.0	0.0	2.4	190.4	3.4
4	34	999	Statewide	11	Hunting and trapping	34	114210	5.0	0.0	0.0	4.4	642.4	4.4
5	34	999	Statewide	11	Logging	34	113310	11.333333333333336	0.0	0.0	20.2	951.2	7.4
6	34	999	Statewide	11	Postharvest crop activities (except cotton ginning)	34	115114	8.0	0.0	0.0	50.6	5312.0	5.4
7	34	999	Statewide	11	Shellfish fishing	34	114112	21.8	23.4	2320.2	57.0	3865.6	21.0
8	34	999	Statewide	11	Soil preparation, planting, and cultivating	34	115112	12.999999999999998	0.0	0.0	30.8	1618.8	10.2
9	34	999	Statewide	11	Support activities for animal production	34	115210	118.93333333333337	258.6	10336.999999999998	446.0	12602.0	117.4
10	34	999	Statewide	11	Support activities for forestry	34	115310	7.9	0.0	0.0	13.2	629.8	5.2
11	34	999	Statewide	11	Timber tract operations	34	113110	2.0	0.0	0.0	0.0	0.0	1.5
12	34	999	Statewide	21	All other nonmetallic mineral mining	34	212399	3.0	0.0	0.0	0.0	0.0	2.6
13	34	999	Statewide	21	Clay and ceramic and refractory minerals mining	34	212325	1.0	0.0	0.0	0.0	0.0	1.0
14	34	999	Statewide	21	Construction sand and gravel mining	34	212321	27.4	99.6	5604.799999999998	289.4	16021.0	26.6
15	34	999	Statewide	21	Crude petroleum and natural gas extraction	34	211111	4.0	0.0	0.0	0.0	0.0	2.0
16	34	999	Statewide	21	Crushed and broken granite mining and quarrying	34	212313	5.0	0.0	0.0	0.0	0.0	4.2
17	34	999	Statewide	21	Crushed and broken limestone mining and quarrying	34	212312	6.0	45.0	2607.8	48.2	2941.6	5.4
18	34	999	Statewide	21	Dimension stone mining and quarrying	34	212311	5.0	0.0	0.0	0.0	0.0	2.8
19	34	999	Statewide	21	Drilling oil and gas wells	34	213111	5.0	0.0	0.0	1.4	106.4	3.8
20	34	999	Statewide	21	Gold ore mining	34	212221	1.0	0.0	0.0	0.0	0.0	1.0
21	34	999	Statewide	21	Industrial sand mining	34	212322	5.6	74.6	6750.4	117.0	7906.0	5.6
22	34	999	Statewide	21	Other chemical and fertilizer mineral mining	34	212393	2.0	0.0	0.0	0.0	0.0	2.0
23	34	999	Statewide	21	Other crushed and broken stone mining and quarrying	34	212319	9.85	13.6	1925.6	215.2	18192.0	8.8
24	34	999	Statewide	21	Support activities for nonmetallic minerals (except fuels) mining	34	213115	5.0	0.0	0.0	12.2	717.2	4.6
25	34	999	Statewide	21	Support activities for oil and gas operations	34	213112	14.0	0.0	0.0	60.6	7588.6	11.2
26	34	999	Statewide	22	Biomass electric power generation	34	221117	5.0	0.0	0.0	5.0	404.6	3.2
27	34	999	Statewide	22	Electric bulk power transmission and control	34	221121	1.0	0.0	0.0	0.0	0.0	1.0
28	34	999	Statewide	22	Electric power distribution	34	221122	145.39999999999995	242.0	26653.4	6928.6	808284.8	146.4
29	34	999	Statewide	22	Fossil fuel electric power generation	34	221112	38.2	735.0	139577.6	1403.2	243793.6	38.2
30	34	999	Statewide	22	Hydroelectric power generation	34	221111	5.5	0.0	0.0	3.2	241.8	3.6
31	34	999	Statewide	22	Natural gas distribution	34	221210	53.2	0.0	0.0	3785.0	389144.2	54.0
32	34	999	Statewide	22	Nuclear electric power generation	34	221113	6.0	0.0	0.0	0.0	0.0	6.0
