	NAICS_Sector	NAICS2012_TTL	state	relevant_naics	COUNTY	id	GEO_TTL	estimate	estab	emp	payann
0	11	Fishing	40	1141	41	40041	Delaware County, Oklahoma	1	1.0	0.0	0.0
1	11	Hunting and trapping	40	1142	79	40079	Le Flore County, Oklahoma	1	1.0	0.0	0.0
2	11	Hunting and trapping	40	1142	103	40103	Noble County, Oklahoma	1	1.0	0.0	0.0
3	11	Hunting and trapping	40	1142	143	40143	Tulsa County, Oklahoma	1	1.0	0.0	0.0
4	11	Logging	40	1133	13	40013	Bryan County, Oklahoma	1	1.0	2.2857142857142856	35.57142857142857
5	11	Logging	40	1133	27	40027	Cleveland County, Oklahoma	1	1.0	2.8095238095238093	31.869047619047617
6	11	Logging	40	1133	79	40079	Le Flore County, Oklahoma	0	3.0	2.0	204.0
7	11	Logging	40	1133	79	40079	Le Flore County, Oklahoma	1	1.8	5.138095238095238	122.5
8	11	Logging	40	1133	89	40089	McCurtain County, Oklahoma	0	28.5	191.66666666666666	7313.333333333333
9	11	Logging	40	1133	109	40109	Oklahoma County, Oklahoma	1	1.5	3.952380952380952	49.6547619047619
10	11	Logging	40	1133	111	40111	Okmulgee County, Oklahoma	1	1.0	3.6845238095238093	109.31547619047619
11	11	Logging	40	1133	113	40113	Osage County, Oklahoma	1	1.0	2.331349206349206	54.75595238095238
12	11	Logging	40	1133	127	40127	Pushmataha County, Oklahoma	0	4.666666666666667	10.333333333333334	372.0
13	11	Logging	40	1133	143	40143	Tulsa County, Oklahoma	1	1.0	1.8730158730158728	22.746031746031747
14	11	Support activities for animal production	40	1152	9	40009	Beckham County, Oklahoma	1	1.0	5.063964659892079	194.2882550514002
15	11	Support activities for animal production	40	1152	17	40017	Canadian County, Oklahoma	1	1.0	5.350922930862446	216.38306968569066
16	11	Support activities for animal production	40	1152	19	40019	Carter County, Oklahoma	1	1.0	6.4923195084485394	271.1899641577061
17	11	Support activities for animal production	40	1152	21	40021	Cherokee County, Oklahoma	1	1.0	5.350922930862446	216.38306968569066
18	11	Support activities for animal production	40	1152	27	40027	Cleveland County, Oklahoma	1	1.75	8.010718101343102	324.07854853479853
19	11	Support activities for animal production	40	1152	31	40031	Comanche County, Oklahoma	1	1.0	5.350922930862446	216.38306968569066
20	11	Support activities for animal production	40	1152	37	40037	Creek County, Oklahoma	1	1.1666666666666667	6.541399121338636	261.35132365394463
21	11	Support activities for animal production	40	1152	41	40041	Delaware County, Oklahoma	1	1.0	5.350922930862446	216.38306968569066
22	11	Support activities for animal production	40	1152	49	40049	Garvin County, Oklahoma	1	1.0	4.992536088463508	205.69777886092402
23	11	Support activities for animal production	40	1152	51	40051	Grady County, Oklahoma	1	1.0	5.063964659892079	194.2882550514002
24	11	Support activities for animal production	40	1152	71	40071	Kay County, Oklahoma	1	1.0	4.758568548387096	201.7953629032258
25	11	Support activities for animal production	40	1152	77	40077	Latimer County, Oklahoma	1	1.0	3.96875	186.6875
26	11	Support activities for animal production	40	1152	79	40079	Le Flore County, Oklahoma	0	3.6666666666666665	13.333333333333334	489.6666666666667
27	11	Support activities for animal production	40	1152	79	40079	Le Flore County, Oklahoma	1	2.0	10.297028897028897	416.598778998779
28	11	Support activities for animal production	40	1152	83	40083	Logan County, Oklahoma	0	3.0	5.0	108.0
29	11	Support activities for animal production	40	1152	83	40083	Logan County, Oklahoma	1	2.25	10.877905601343102	423.9408997252748
30	11	Support activities for animal production	40	1152	85	40085	Love County, Oklahoma	0	3.5	8.5	231.0
31	11	Support activities for animal production	40	1152	85	40085	Love County, Oklahoma	1	1.25	6.728573336385836	256.0868933150183
32	11	Support activities for animal production	40	1152	87	40087	McClain County, Oklahoma	0	3.8333333333333335	13.833333333333334	528.0
33	11	Support activities for animal production	40	1152	93	40093	Major County, Oklahoma	1	1.0	5.861427131336405	250.06434811827955
34	11	Support activities for animal production	40	1152	97	40097	Mayes County, Oklahoma	1	1.2	5.857714659892079	231.6257550514002
35	11	Support activities for animal production	40	1152	101	40101	Muskogee County, Oklahoma	1	1.0	4.209526353276353	161.5761752136752
36	11	Support activities for animal production	40	1152	105	40105	Nowata County, Oklahoma	1	1.0	4.209526353276353	161.5761752136752
37	11	Support activities for animal production	40	1152	109	40109	Oklahoma County, Oklahoma	0	5.8	13.8	537.4
38	11	Support activities for animal production	40	1152	109	40109	Oklahoma County, Oklahoma	1	4.0	22.193548387096772	867.6129032258065
39	11	Support activities for animal production	40	1152	111	40111	Okmulgee County, Oklahoma	0	3.0	4.0	120.0
40	11	Support activities for animal production	40	1152	111	40111	Okmulgee County, Oklahoma	1	2.0	11.72285426267281	500.1286962365591
41	11	Support activities for animal production	40	1152	113	40113	Osage County, Oklahoma	1	1.0	5.063964659892079	194.2882550514002
42	11	Support activities for animal production	40	1152	117	40117	Pawnee County, Oklahoma	1	1.0	3.96875	186.6875
43	11	Support activities for animal production	40	1152	119	40119	Payne County, Oklahoma	0	3.0	0.0	575.0
44	11	Support activities for animal production	40	1152	119	40119	Payne County, Oklahoma	1	2.4	12.666178167710425	485.9190600259955
45	11	Support activities for animal production	40	1152	123	40123	Pontotoc County, Oklahoma	1	1.0	3.96875	186.6875
