	id	state	COUNTY	GEO_TTL	relevant_naics	NAICS2012_TTL	NAICS_Sector	estab	emp	payann
36796	47	47	0	Tennessee	113110	Timber tract operations	11	6.4	5.0	866.6
36797	47	47	0	Tennessee	113310	Logging	11	138.2	781.2	23501.4
36798	47	47	0	Tennessee	114111	Finfish fishing	11	1.25	0.0	0.0
36799	47	47	0	Tennessee	114210	Hunting and trapping	11	2.6	2.8	86.8
36800	47	47	0	Tennessee	115111	Cotton ginning	11	5.8	18.4	1924.4
36801	47	47	0	Tennessee	115112	Soil preparation, planting, and cultivating	11	12.6	53.2	11898.0
36802	47	47	0	Tennessee	115113	Crop harvesting, primarily by machine	11	1.25	0.0	0.0
36803	47	47	0	Tennessee	115114	Postharvest crop activities (except cotton ginning)	11	4.0	0.0	0.0
36804	47	47	0	Tennessee	115115	Farm labor contractors and crew leaders	11	1.4	0.0	0.0
36805	47	47	0	Tennessee	115116	Farm management services	11	7.4	20.4	642.6
36806	47	47	0	Tennessee	115210	Support activities for animal production	11	46.0	127.6	3908.6
36807	47	47	0	Tennessee	115310	Support activities for forestry	11	11.4	281.0	2736.8
36808	47	47	0	Tennessee	211111	Crude petroleum and natural gas extraction	21	12.2	142.4	10964.4
36809	47	47	0	Tennessee	211112	Natural gas liquid extraction	21	1.0	0.0	0.0
36810	47	47	0	Tennessee	212111	Bituminous coal and lignite surface mining	21	5.6	12.8	513.4
36811	47	47	0	Tennessee	212112	Bituminous coal underground mining	21	2.6	0.0	0.0
36812	47	47	0	Tennessee	212231	Lead ore and zinc ore mining	21	2.0	0.0	0.0
36813	47	47	0	Tennessee	212234	Copper ore and nickel ore mining	21	1.0	0.0	0.0
36814	47	47	0	Tennessee	212311	Dimension stone mining and quarrying	21	4.2	8.6	490.6
36815	47	47	0	Tennessee	212312	Crushed and broken limestone mining and quarrying	21	96.8	508.4	26474.2
36816	47	47	0	Tennessee	212319	Other crushed and broken stone mining and quarrying	21	7.2	80.4	3462.4
36817	47	47	0	Tennessee	212321	Construction sand and gravel mining	21	21.6	202.0	8040.8
36818	47	47	0	Tennessee	212322	Industrial sand mining	21	4.0	102.8	6152.8
36819	47	47	0	Tennessee	212324	Kaolin and ball clay mining	21	3.2	64.6	3633.6
36820	47	47	0	Tennessee	212399	All other nonmetallic mineral mining	21	1.6	0.0	0.0
36821	47	47	0	Tennessee	213111	Drilling oil and gas wells	21	14.2	33.6	3136.0
36822	47	47	0	Tennessee	213112	Support activities for oil and gas operations	21	16.0	53.0	3523.4
36823	47	47	0	Tennessee	213113	Support activities for coal mining	21	4.4	15.0	833.4
36824	47	47	0	Tennessee	213114	Support activities for metal mining	21	1.0	0.0	0.0
36825	47	47	0	Tennessee	213115	Support activities for nonmetallic minerals (except fuels) mining	21	4.8	25.4	1200.4
36826	47	47	0	Tennessee	221111	Hydroelectric power generation	22	1.4	0.0	0.0
36827	47	47	0	Tennessee	221112	Fossil fuel electric power generation	22	1.0	0.0	0.0
36828	47	47	0	Tennessee	221113	Nuclear electric power generation	22	1.0	0.0	0.0
36829	47	47	0	Tennessee	221114	Solar electric power generation	22	1.0	0.0	0.0
36830	47	47	0	Tennessee	221115	Wind electric power generation	22	1.0	0.0	0.0
36831	47	47	0	Tennessee	221118	Other electric power generation	22	1.2	0.0	0.0
36832	47	47	0	Tennessee	221122	Electric power distribution	22	84.0	2300.0	155026.0
36833	47	47	0	Tennessee	221210	Natural gas distribution	22	26.2	227.6	17026.6
36834	47	47	0	Tennessee	221310	Water supply and irrigation systems	22	17.2	206.0	9774.2
36835	47	47	0	Tennessee	221320	Sewage treatment facilities	22	9.6	99.4	4558.6
36836	47	47	0	Tennessee	221330	Steam and air-conditioning supply	22	1.0	0.0	0.0
36837	47	47	0	Tennessee	236115	New single-family housing construction (except for-sale builders)	23	687.4	2340.8	98157.2
36838	47	47	0	Tennessee	236116	New multifamily housing construction (except for-sale builders)	23	28.2	253.2	20162.6
36839	47	47	0	Tennessee	236117	New housing for-sale builders	23	285.8	1488.2	103896.4
36840	47	47	0	Tennessee	236118	Residential remodelers	23	904.0	3868.8	163411.6
36841	47	47	0	Tennessee	236210	Industrial building construction	23	54.4	6664.2	284974.0
36842	47	47	0	Tennessee	236220	Commercial and institutional building construction	23	620.6	8878.8	570490.2
36843	47	47	0	Tennessee	237110	Water and sewer line and related structures construction	23	202.4	2311.2	104269.2
36844	47	47	0	Tennessee	237120	Oil and gas pipeline and related structures construction	23	28.0	556.0	53513.0
36845	47	47	0	Tennessee	237130	Power and communication line and related structures construction	23	112.8	4991.6	264558.6
36846	47	47	0	Tennessee	237210	Land subdivision	23	97.8	472.6	31596.2
36847	47	47	0	Tennessee	237310	Highway, street, and bridge construction	23	177.8	4963.6	272299.8
36848	47	47	0	Tennessee	237990	Other heavy and civil engineering construction	23	74.6	888.8	45032.8
36849	47	47	0	Tennessee	238110	Poured concrete foundation and structure contractors	23	279.6	2978.0	135510.4
36850	47	47	0	Tennessee	238120	Structural steel and precast concrete contractors	23	63.0	1512.0	80576.0
36851	47	47	0	Tennessee	238130	Framing contractors	23	121.6	706.2	24305.2
36852	47	47	0	Tennessee	238140	Masonry contractors	23	236.2	2546.0	90943.0
36853	47	47	0	Tennessee	238150	Glass and glazing contractors	23	83.4	877.8	42340.4
36854	47	47	0	Tennessee	238160	Roofing contractors	23	309.0	3442.8	143697.8
36855	47	47	0	Tennessee	238170	Siding contractors	23	124.2	681.4	28324.6
36856	47	47	0	Tennessee	238190	Other foundation, structure, and building exterior contractors	23	58.6	420.6	17291.4
36857	47	47	0	Tennessee	238210	Electrical contractors and other wiring installation contractors	23	1023.2	14797.4	738261.6
36858	47	47	0	Tennessee	238220	Plumbing, heating, and air-conditioning contractors	23	1477.2	16640.8	798942.2
36859	47	47	0	Tennessee	238290	Other building equipment contractors	23	152.8	3061.0	184821.8
36860	47	47	0	Tennessee	238310	Drywall and insulation contractors	23	242.6	2582.0	105810.2
36861	47	47	0	Tennessee	238320	Painting and wall covering contractors	23	320.0	2058.6	79503.4
36862	47	47	0	Tennessee	238330	Flooring contractors	23	166.0	868.8	36573.2
36863	47	47	0	Tennessee	238340	Tile and terrazzo contractors	23	119.4	628.8	21636.8
36864	47	47	0	Tennessee	238350	Finish carpentry contractors	23	271.0	1445.0	55455.6
36865	47	47	0	Tennessee	238390	Other building finishing contractors	23	120.4	1287.4	49111.2
36866	47	47	0	Tennessee	238910	Site preparation contractors	23	578.0	5012.0	230042.8
36867	47	47	0	Tennessee	238990	All other specialty trade contractors	23	403.6	2983.2	132929.4
36868	47	47	0	Tennessee	311111	Dog and cat food manufacturing	31	4.6	217.8	12675.0
36869	47	47	0	Tennessee	311119	Other animal food manufacturing	31	13.0	388.4	19384.0
36870	47	47	0	Tennessee	311211	Flour milling	31	4.2	0.0	0.0
36871	47	47	0	Tennessee	311212	Rice milling	31	1.0	0.0	0.0
36872	47	47	0	Tennessee	311221	Wet corn milling	31	2.0	0.0	0.0
36873	47	47	0	Tennessee	311224	Soybean and other oilseed processing	31	1.8	0.0	0.0
36874	47	47	0	Tennessee	311225	Fats and oils refining and blending	31	6.2	220.6	10419.6
36875	47	47	0	Tennessee	311230	Breakfast cereal manufacturing	31	2.0	0.0	0.0
36876	47	47	0	Tennessee	311340	Nonchocolate confectionery manufacturing	31	11.2	1177.8	54684.6
36877	47	47	0	Tennessee	311351	Chocolate and confectionery manufacturing from cacao beans	31	6.4	27.4	572.0
36878	47	47	0	Tennessee	311352	Confectionery manufacturing from purchased chocolate	31	19.0	1286.8	57024.0
36879	47	47	0	Tennessee	311411	Frozen fruit, juice, and vegetable manufacturing	31	1.2	0.0	0.0
36880	47	47	0	Tennessee	311412	Frozen specialty food manufacturing	31	5.2	1145.8	64545.4
36881	47	47	0	Tennessee	311421	Fruit and vegetable canning	31	13.0	694.6	38994.4
36882	47	47	0	Tennessee	311422	Specialty canning	31	2.0	0.0	0.0
36883	47	47	0	Tennessee	311423	Dried and dehydrated food manufacturing	31	1.0	0.0	0.0
36884	47	47	0	Tennessee	311511	Fluid milk manufacturing	31	7.4	1230.4	64232.0
36885	47	47	0	Tennessee	311513	Cheese manufacturing	31	6.8	99.4	5918.8
36886	47	47	0	Tennessee	311514	Dry, condensed, and evaporated dairy product manufacturing	31	1.0	0.0	0.0
36887	47	47	0	Tennessee	311520	Ice cream and frozen dessert manufacturing	31	5.8	379.2	16155.0
36888	47	47	0	Tennessee	311611	Animal (except poultry) slaughtering	31	27.2	685.8	23207.0
