	id	state	COUNTY	GEO_TTL	relevant_naics	NAICS2012_TTL	NAICS_Sector	estab	emp	payann
775	49	49	0	Utah	11	Agriculture, forestry, fishing and hunting	11	85.6	470.0	26003.8
776	49	49	0	Utah	21	Mining, quarrying, and oil and gas extraction	21	477.0	10628.6	827201.6
777	49	49	0	Utah	22	Utilities	22	218.6	1723.4	160286.6
778	49	49	0	Utah	23	Construction	23	8637.2	68393.0	3266387.4
779	49	49	0	Utah	42	Wholesale trade	42	3703.2	55272.2	3244440.6
780	49	49	0	Utah	51	Information	51	1434.8	40734.8	2677072.0
781	49	49	0	Utah	52	Finance and insurance	52	5030.2	59546.0	3831583.2
782	49	49	0	Utah	53	Real estate and rental and leasing	53	4860.4	19296.8	770535.0
783	49	49	0	Utah	54	Professional, scientific, and technical services	54	9778.4	87068.0	4584569.0
784	49	49	0	Utah	55	Management of companies and enterprises	55	480.2	21991.2	1903367.8
785	49	49	0	Utah	56	Administrative and support and waste management and remediation services	56	4196.8	123288.4	4101911.4
786	49	49	0	Utah	61	Educational services	61	1069.2	44749.0	1212015.8
787	49	49	0	Utah	62	Health care and social assistance	62	7592.2	131064.6	5444374.8
788	49	49	0	Utah	71	Arts, entertainment, and recreation	71	1034.4	21170.8	411859.8
789	49	49	0	Utah	72	Accommodation and food services	72	5387.4	105686.8	1627441.2
790	49	49	0	Utah	81	Other services (except public administration)	81	4832.8	48128.6	1631951.4
791	49	49	0	Utah	99	Industries not classified	99	76.2	54.2	1983.8
