	id	state	COUNTY	GEO_TTL	relevant_naics	NAICS2012_TTL	NAICS_Sector	estab	emp	payann
52302	55	55	999	Wisconsin -- Statewide	21	Mining, quarrying, and oil and gas extraction	21	3.0	2.4	252.4
52303	55	55	999	Wisconsin -- Statewide	22	Utilities	22	2.8	2.6	423.0
52304	55	55	999	Wisconsin -- Statewide	23	Construction	23	5.2	0.0	0.0
52305	55	55	999	Wisconsin -- Statewide	42	Wholesale trade	42	111.8	2667.6	226082.6
52306	55	55	999	Wisconsin -- Statewide	51	Information	51	36.8	210.2	24473.6
52307	55	55	999	Wisconsin -- Statewide	52	Finance and insurance	52	111.0	3682.4	258534.8
52308	55	55	999	Wisconsin -- Statewide	53	Real estate and rental and leasing	53	4.0	4.2	441.4
52309	55	55	999	Wisconsin -- Statewide	54	Professional, scientific, and technical services	54	52.2	2534.8	113117.6
52310	55	55	999	Wisconsin -- Statewide	55	Management of companies and enterprises	55	5.2	8.4	734.8
52311	55	55	999	Wisconsin -- Statewide	56	Administrative and support and waste management and remediation services	56	67.6	16627.4	394403.8
52312	55	55	999	Wisconsin -- Statewide	61	Educational services	61	4.8	27.0	913.6
52313	55	55	999	Wisconsin -- Statewide	62	Health care and social assistance	62	8.4	816.4	18702.2
52314	55	55	999	Wisconsin -- Statewide	72	Accommodation and food services	72	2.6	8.2	176.4
52315	55	55	999	Wisconsin -- Statewide	81	Other services (except public administration)	81	5.2	44.4	2047.0
