STATEFP,COUNTYFP,GEOID,NAME,NAMELSAD,lon,lat,state,ABBR
30,065,30065,Musselshell,Musselshell County,-108.4397631,46.5052807,Montana,MT
30,015,30015,Chouteau,Chouteau County,-110.4362004,47.8868343,Montana,MT
30,059,30059,Meagher,Meagher County,-110.9217396,46.5856996,Montana,MT
30,087,30087,Rosebud,Rosebud County,-106.6667462,46.1732331,Montana,MT
30,097,30097,Sweet Grass,Sweet Grass County,-109.944796,45.8112917,Montana,MT
30,049,30049,Lewis and Clark,Lewis and Clark County,-112.3733673,47.1320133,Montana,MT
30,073,30073,Pondera,Pondera County,-112.2207612,48.2286037,Montana,MT
30,033,30033,Garfield,Garfield County,-106.9959912,47.2671843,Montana,MT
30,011,30011,Carter,Carter County,-104.5153243,45.5168247,Montana,MT
30,031,30031,Gallatin,Gallatin County,-111.1639214,45.5180536,Montana,MT
30,051,30051,Liberty,Liberty County,-111.0369242,48.5596541,Montana,MT
30,093,30093,Silver Bow,Silver Bow County,-112.6600714,45.8962319,Montana,MT
30,013,30013,Cascade,Cascade County,-111.3502622,47.3165751,Montana,MT
30,029,30029,Flathead,Flathead County,-114.0542951,48.3146779,Montana,MT
30,027,30027,Fergus,Fergus County,-109.2321376,47.2252211,Montana,MT
30,007,30007,Broadwater,Broadwater County,-111.4978728,46.3298486,Montana,MT
30,003,30003,Big Horn,Big Horn County,-107.5181625,45.407869,Montana,MT
30,089,30089,Sanders,Sanders County,-115.1803062,47.7564968,Montana,MT
30,053,30053,Lincoln,Lincoln County,-115.4631849,48.5523847,Montana,MT
30,039,30039,Granite,Granite County,-113.4273564,46.3959554,Montana,MT
30,017,30017,Custer,Custer County,-105.5503521,46.2614136,Montana,MT
30,083,30083,Richland,Richland County,-104.5634082,47.785633,Montana,MT
30,109,30109,Wibaux,Wibaux County,-104.2745184,46.9629657,Montana,MT
30,037,30037,Golden Valley,Golden Valley County,-109.1745855,46.3806243,Montana,MT
30,009,30009,Carbon,Carbon County,-109.0285543,45.2244683,Montana,MT
30,101,30101,Toole,Toole County,-111.7334723,48.6451246,Montana,MT
30,005,30005,Blaine,Blaine County,-108.9676475,48.4282823,Montana,MT
30,045,30045,Judith Basin,Judith Basin County,-110.30532,47.032558,Montana,MT
30,077,30077,Powell,Powell County,-112.9310998,46.8442254,Montana,MT
30,067,30067,Park,Park County,-110.5327601,45.4214291,Montana,MT
30,085,30085,Roosevelt,Roosevelt County,-104.9951698,48.2827471,Montana,MT
30,025,30025,Fallon,Fallon County,-104.4057182,46.3181841,Montana,MT
30,055,30055,McCone,McCone County,-105.757222,47.6296277,Montana,MT
30,095,30095,Stillwater,Stillwater County,-109.3815759,45.6585447,Montana,MT
30,099,30099,Teton,Teton County,-112.2817249,47.8190352,Montana,MT
30,021,30021,Dawson,Dawson County,-104.8982713,47.2661301,Montana,MT
30,075,30075,Powder River,Powder River County,-105.555344,45.4089262,Montana,MT
30,035,30035,Glacier,Glacier County,-112.9905023,48.7056706,Montana,MT
30,047,30047,Lake,Lake County,-114.0836866,47.6429007,Montana,MT
30,041,30041,Hill,Hill County,-110.106321,48.6319595,Montana,MT
30,103,30103,Treasure,Treasure County,-107.2857723,46.2294408,Montana,MT
30,061,30061,Mineral,Mineral County,-115.0656272,47.1519417,Montana,MT
30,111,30111,Yellowstone,Yellowstone County,-108.2766564,45.9369867,Montana,MT
30,043,30043,Jefferson,Jefferson County,-112.0594284,46.1242317,Montana,MT
30,023,30023,Deer Lodge,Deer Lodge County,-113.1416236,46.0946716,Montana,MT
30,107,30107,Wheatland,Wheatland County,-109.8571467,46.4970466,Montana,MT
30,081,30081,Ravalli,Ravalli County,-114.105795,46.0777441,Montana,MT
30,105,30105,Valley,Valley County,-106.6704238,48.3498496,Montana,MT
30,069,30069,Petroleum,Petroleum County,-108.2265753,47.1419168,Montana,MT
30,071,30071,Phillips,Phillips County,-107.9288973,48.2501432,Montana,MT
30,063,30063,Missoula,Missoula County,-113.8926911,47.0272632,Montana,MT
30,091,30091,Sheridan,Sheridan County,-104.5339129,48.7055228,Montana,MT
30,019,30019,Daniels,Daniels County,-105.5417385,48.794429,Montana,MT
30,079,30079,Prairie,Prairie County,-105.5039937,46.8123837,Montana,MT
30,057,30057,Madison,Madison County,-111.9137914,45.3252895,Montana,MT
30,001,30001,Beaverhead,Beaverhead County,-112.8928694,45.1338633,Montana,MT
