zcta,population,poverty,poverty_under18,poverty_18to65,poverty_over65,education,work_experience,working_fulltime,working_fulltime_poverty
00601,18295,10816,2967,6345,1504,11963,14413,214,25
00602,41256,22409,6032,14054,2323,27620,33168,654,42
00603,52316,26220,7351,15112,3757,35320,41896,970,117
00606,6591,3721,1167,2085,469,4332,5202,155,31
00610,28878,14569,4197,8591,1781,19428,23173,770,124
00612,67771,30695,8443,17304,4948,45383,54140,1379,85
00616,10157,4808,1141,2842,825,7198,8508,205,12
00617,24857,13362,3955,7559,1848,16322,19361,838,58
00622,6131,3700,1072,1983,645,4311,5048,242,0
00623,44649,21322,5853,11779,3690,30408,35644,938,123
00624,25175,15095,4601,8944,1550,15600,19261,412,69
00627,34752,15541,4699,8730,2112,23074,27653,563,57
00631,1747,906,207,510,189,1260,1511,0,0
00637,24894,12384,3328,7027,2029,16617,19854,368,37
00638,18710,11271,3379,6448,1444,12076,14738,313,57
00641,30354,16917,4803,9616,2498,20109,24283,322,41
00646,38170,13665,4275,7841,1549,25069,29631,1367,56
00647,5640,3050,760,1638,652,3892,4686,23,0
00650,14958,8176,2495,4704,977,9509,11644,337,71
00652,3443,1742,373,987,382,2315,2696,100,0
00653,13430,8990,2569,5217,1204,8749,10340,232,50
00656,21131,11207,3147,6699,1361,13772,16501,219,0
00659,41890,19332,5719,11023,2590,27997,33294,914,39
00660,16973,5564,1373,3103,1088,12029,13882,441,40
00662,43234,23794,5961,14056,3777,29395,34630,1023,84
00664,16471,8562,2514,5054,994,10228,12641,218,12
00667,25735,15533,3919,9449,2165,17580,20767,407,49
00669,28636,18000,4779,10583,2638,18944,22798,421,79
00670,9614,5527,1502,3364,661,6300,7633,161,26
00674,43436,20376,6130,11316,2930,28534,34060,1165,53
00676,39655,20916,5869,12620,2427,25771,30940,501,91
00677,15089,8064,2299,4762,1003,10587,12252,393,58
00678,27137,15659,4467,9295,1897,17953,21464,614,91
00680,54834,27935,7250,16404,4281,35980,45197,1224,156
00682,32386,17053,4448,10578,2027,20146,26722,676,45
00683,32891,15191,4103,8554,2534,22547,26638,938,168
00685,41759,23075,5931,13388,3756,28251,33135,500,73
00687,32404,18201,5768,10367,2066,20207,24961,618,31
00688,12141,7206,1823,3982,1401,8211,9920,328,24
00690,6299,2821,793,1514,514,3986,4744,74,0
00692,36897,18509,6126,10178,2205,23466,28544,815,69
00693,59788,30388,8844,17287,4257,39711,47300,1502,71
00694,157,132,15,28,89,142,142,13,0
00698,40752,22115,5729,13174,3212,27475,32698,482,12
00703,29024,15885,4743,9265,1877,18836,22681,415,105
00704,7768,4271,1366,2474,431,4906,5687,191,0
00705,25327,12258,3450,6972,1836,16686,20136,615,95
00707,12033,6765,1895,3778,1092,8030,9673,186,43
00714,19431,10037,2853,5863,1321,12468,15056,485,30
00715,4315,2916,955,1521,440,2876,3354,89,0
00716,31849,15438,5223,8442,1773,21000,24683,1375,253
00717,17711,10508,3482,5696,1330,11091,13834,796,102
00718,26643,13837,4673,7880,1284,17057,20638,888,29
00719,30686,15835,4451,9473,1911,19796,24257,617,78
00720,22939,13781,4206,8219,1356,14351,17821,667,87
00723,18956,10561,3163,5881,1517,12618,15133,431,37
00725,89830,37435,12166,20133,5136,59262,70598,3186,212
00727,56731,17588,4974,9705,2909,38252,45684,2305,76
00728,40378,20315,6280,11657,2378,25882,32039,1123,33
00729,54668,22334,7294,12661,2379,34362,42128,1817,190
00730,37739,19267,6363,10340,2564,24587,29647,916,85
00731,14492,7712,2088,4425,1199,10040,11923,269,57
00735,13438,5645,1792,2988,865,8975,10755,427,42
00736,51518,20654,5790,11881,2983,34074,40972,1859,36
00738,34226,13912,4606,7231,2075,22599,27083,1544,120
00739,38498,14432,4409,8140,1883,25380,30340,1481,14
00740,1760,1130,498,535,97,966,1216,15,0
00741,4995,2220,627,1401,192,3493,4122,215,65
00745,53604,21466,6381,12110,2975,35212,42403,1805,212
00751,23132,13836,4014,7749,2073,14979,18330,694,49
00754,39988,18536,5022,10872,2642,26766,31979,1296,39
00757,23231,11382,3571,6578,1233,14455,17574,967,104
00765,9156,3923,1236,2125,562,6199,7294,485,30
00766,25811,13927,4398,8097,1432,16044,19756,430,8
00767,37260,19178,5723,11094,2361,24542,29444,772,66
00769,39852,20296,6070,11891,2335,25771,31163,1269,189
00771,38315,18841,5527,11017,2297,25356,30319,1353,81
00772,21671,11561,3372,6894,1295,13917,17098,725,72
00773,19815,8580,2619,4808,1153,13045,15657,642,59
00775,1478,792,232,507,53,1051,1223,31,0
00777,40782,18837,5597,10950,2290,26287,31450,1050,24
00778,45906,16254,4648,9542,2064,29921,35622,1532,124
00780,13290,5554,1567,3490,497,8841,10513,476,64
00782,18440,10759,3151,6209,1399,12111,14650,342,27
00783,36409,19171,5787,10812,2572,23347,28382,830,62
00784,42284,20922,6582,11643,2697,27095,32726,1266,49
00786,335,12,0,0,12,252,293,16,0
00791,52232,22396,6900,12562,2934,34900,41490,2197,110
00794,30405,17847,5723,10233,1891,18650,23226,801,103
00795,47348,24965,7866,14336,2763,30061,36894,1282,209
00901,5522,2783,492,1785,506,4242,4886,468,46
00906,36,0,0,0,0,22,36,11,0
00907,17533,4978,1175,2895,908,13643,15192,2386,207
00909,5869,2993,811,1755,427,4067,4949,545,42
00911,7588,2136,389,1110,637,5923,6575,1078,63
00912,6326,2848,799,1666,383,4417,5257,543,48
00913,8241,5831,2303,3145,383,4573,5735,343,70
00915,31512,18937,5917,10606,2414,20541,25077,1639,122
00917,20136,9733,2155,5765,1813,14726,17176,1476,46
00918,16386,6270,2046,3278,946,11553,13471,2057,120
00920,18499,5945,1580,3210,1155,13761,15740,1458,83
00921,37639,17332,5810,9830,1692,25230,30163,2231,163
00923,28170,14621,4516,8331,1774,18611,22362,1811,207
00924,57268,26548,10569,13078,2901,36227,43507,2749,310
00925,6275,3592,589,2652,351,4022,5586,757,121
00926,106098,28104,8365,16165,3574,74167,87013,6806,486
00927,15305,3418,711,2024,683,11189,12934,1032,55
00934,235,74,41,33,0,122,150,9,0
00936,53,0,0,0,0,53,53,53,0
00949,81520,29966,9688,16558,3720,53966,64279,3922,111
00950,0,0,0,0,0,0,0,0,0
00951,16,16,0,9,7,16,16,0,0
00952,9598,4075,1173,2176,726,6315,7886,340,20
00953,73023,25471,7812,14802,2857,46124,56388,2272,155
00956,76605,29768,8803,16302,4663,51480,61184,2974,279
00957,45849,17574,6591,8462,2521,29901,35607,1691,82
00959,48171,15296,4152,8327,2817,32965,39294,2750,110
00960,18,12,0,12,0,18,18,0,0
00961,30293,8712,2263,4850,1599,21702,25621,1394,38
00962,21705,11827,4224,6238,1365,13637,16570,702,71
00965,8978,4980,1482,2891,607,5972,7256,514,56
00966,16297,2809,841,1527,441,11643,13485,1244,39
00968,3532,349,50,130,169,3073,3263,560,0
00969,42565,7142,2213,3766,1163,29616,34587,2724,197
00971,30222,11629,2979,6634,2016,21109,25064,1598,98
00976,62807,19646,6538,10319,2789,41200,49049,3240,119
00979,16192,3099,709,1878,512,12389,14040,1988,38
00982,16160,4965,1485,2607,873,11504,13376,848,71
00983,41530,12863,4607,6387,1869,27568,32822,1794,94
00985,36270,12272,4052,6662,1558,24822,29625,1626,102
00987,59076,16571,5579,8925,2067,38716,46856,2479,55
01001,16645,1537,447,931,159,11863,13670,1697,45
01002,23693,7418,847,6499,72,12671,20530,1762,108
01003,79,1,0,1,0,29,33,9,0
01005,5300,251,44,129,78,3527,4230,268,10
01007,14561,1220,210,899,111,10126,11641,789,35
01008,1144,53,16,37,0,836,965,76,0
01009,716,153,28,21,104,553,616,44,0
01010,3625,222,65,142,15,2697,2917,251,0
01011,1414,129,37,81,11,1020,1119,79,3
01012,577,42,14,19,9,417,479,45,0
01013,21493,3731,1287,2034,410,14151,17304,2127,39
01020,30425,3163,853,1815,495,22469,25332,2554,34
01022,2794,551,117,400,34,1887,2560,460,0
01026,1024,84,25,51,8,796,873,71,4
01027,17584,1198,174,809,215,13398,15095,1876,30
01028,15462,675,241,283,151,10867,12256,567,0
01029,596,57,0,43,14,495,533,25,0
01030,11298,1243,440,676,127,8024,9186,529,17
01031,1471,276,60,210,6,1045,1249,138,4
01032,570,21,0,21,0,470,504,27,0
01033,6182,222,62,125,35,4565,5095,565,0
01034,2171,129,20,103,6,1525,1793,107,3
01035,5035,403,24,328,51,3726,4347,531,0
01036,5041,231,60,139,32,3619,4234,111,0
01037,543,58,15,43,0,460,513,65,0
01038,2832,236,75,126,35,2122,2285,215,0
01039,1566,114,0,88,26,1246,1392,151,0
01040,39041,12298,4927,6537,834,25079,30184,2657,12
01050,2539,210,87,97,26,1715,1904,175,0
01053,1639,276,84,192,0,1240,1320,193,0
01054,1756,182,50,110,22,1333,1504,142,3
01056,20175,1025,235,562,228,15206,16765,1388,20
01057,8587,917,179,667,71,6137,7001,881,44
01060,12703,2205,553,1523,129,9615,10962,2253,48
01062,10608,1063,283,627,153,7535,8558,962,18
01063,0,0,0,0,0,0,0,0,0
01066,0,0,0,0,0,0,0,0,0
01068,1829,84,17,52,15,1278,1472,72,3
01069,8780,677,100,543,34,6233,7194,388,0
